time_index,time,n_cells,n_malignant_epithelial_cell,n_M0_macrophage,n_effector_T_cell,prop_malignant_epithelial_cell,prop_M0_macrophage,prop_effector_T_cell,density_total,density_malignant_epithelial_cell,density_M0_macrophage,density_effector_T_cell,mean_nnd,mean_nnd_M0_macrophage,mean_nnd_effector_T_cell,mean_nnd_malignant_epithelial_cell,clark_evans_R,clark_evans_R_M0_macrophage,clark_evans_R_effector_T_cell,clark_evans_R_malignant_epithelial_cell,shannon_diversity,n_exhausted_T_cell,prop_exhausted_T_cell,density_exhausted_T_cell,mean_nnd_exhausted_T_cell,clark_evans_R_exhausted_T_cell,n_M1_macrophage,prop_M1_macrophage,density_M1_macrophage,mean_nnd_M1_macrophage,clark_evans_R_M1_macrophage,n_M2_macrophage,prop_M2_macrophage,density_M2_macrophage,mean_nnd_M2_macrophage,clark_evans_R_M2_macrophage
30,300.0,978.0,878.0,39.0,23.0,0.8977505112474438,0.03987730061349693,0.023517382413087935,0.000517316629793667,0.0004644212688740691,2.062919075864316e-05,1.2165933011507503e-05,21.97328825397189,80.2043704148405,161.5820806337674,21.97279843363007,0.9995471114371101,0.7285663782633134,1.1271868203877966,0.9470467494045366,0.26212967396717696,27.0,0.027607361963190184,1.4281747448291418e-05,121.64841872520573,0.9194479274103659,3.0,0.003067484662576687,1.5868608275879354e-06,237.2468098987637,0.5977227651403393,8.0,0.0081799591002045,4.2316288735678275e-06,223.23826602111777,0.9184434516968905
31,310.0,975.0,875.0,39.0,23.0,0.8974358974358975,0.04,0.02358974358974359,0.0005156912075300442,0.0004627998016295268,2.062764830120177e-05,1.2165023357118992e-05,22.065238644323724,79.87296418577802,160.73260268676907,22.073822968279227,1.0021517471117365,0.725528800263958,1.1212189941424964,0.9497386954158435,0.2627506968579713,27.0,0.027692307692307693,1.4280679593139686e-05,121.63115817386007,0.9192830984108659,3.0,0.003076923076923077,1.5867421770155206e-06,237.16629294334948,0.5974975707675673,8.0,0.008205128205128205,4.2313124720413885e-06,218.66132802810776,0.8995794506290814
32,320.0,974.0,874.0,39.0,23.0,0.8973305954825462,0.04004106776180698,0.023613963039014373,0.0005151138194310637,0.00046222739033136516,2.0625707348882426e-05,1.2163878692930663e-05,22.131286801331083,81.64071600243796,159.76351059869197,22.10461742368278,1.0045886394571597,0.7415513438260614,1.114406485527529,0.9504753034422334,0.26295842048414153,27.0,0.027720739219712527,1.4279335856918604e-05,121.62396144349353,0.9191854575394245,3.0,0.003080082135523614,1.5865928729909559e-06,245.2743830144143,0.6178953645263663,8.0,0.008213552361396304,4.230914327975882e-06,218.31661929772707,0.8981190511735908
33,330.0,973.0,873.0,39.0,23.0,0.8972250770811921,0.040082219938335044,0.023638232271325797,0.0005145434406251614,0.0004616612781765323,2.062404335496536e-05,1.2162897363184699e-05,22.200347642374467,80.98083362429871,159.12644434355383,22.10758309459011,1.0071653915485455,0.7355278902820612,1.109917950670802,0.9500205212850729,0.26316650370492595,27.0,0.02774922918807811,1.4278183861129864e-05,121.63593439130297,0.9192388619350389,3.0,0.003083247687564234,1.5864648734588739e-06,252.7659583920674,0.6367424590739931,8.0,0.008221993833504625,4.23057299589033e-06,220.15797979075026,0.9056575741464863
34,340.0,972.0,872.0,39.0,21.0,0.897119341563786,0.040123456790123455,0.021604938271604937,0.000513968953086592,0.0004610914887772718,2.0622211080634864e-05,1.1104267504957234e-05,22.17615402906318,80.37569214531722,166.06167821167628,22.086635385478825,1.0055060034797687,0.7299991179859925,1.1067368640134003,0.9485344533295935,0.2630978513490914,29.0,0.029835390946502057,1.5334464649702848e-05,118.23132339915327,0.9259698707247159,3.0,0.0030864197530864196,1.5863239292796048e-06,257.5953799440593,0.6488794241251477,8.0,0.00823045267489712,4.230197144745613e-06,220.97871867133793,0.9089934432304716
35,350.0,969.0,869.0,38.0,20.0,0.8968008255933952,0.0392156862745098,0.02063983488132095,0.0005123385795800952,0.00045946566115077675,2.0091709003140985e-05,1.0574583685863678e-05,22.116060851013195,82.28199831267057,172.12271231422037,22.14365053562282,1.0011895357979461,0.7376379732340934,1.1194374092029609,0.9493049473716204,0.2648978968530667,30.0,0.030959752321981424,1.5861875528795516e-05,113.69423304623686,0.9056193655945631,4.0,0.0041279669762641896,2.1149167371727353e-06,335.6515222600122,0.9762594569977587,8.0,0.008255933952528379,4.229833474345471e-06,222.75183656991584,0.9162477560303703
36,360.0,969.0,869.0,37.0,20.0,0.8968008255933952,0.038183694530443756,0.02063983488132095,0.0005122938793470287,0.0004594255739448586,1.9561272998802954e-05,1.057366108043403e-05,22.002495989678216,86.42625126991128,171.80280992023268,22.134740864954153,0.9960050255412919,0.7644942594741948,1.1173081102369282,0.9488815906578494,0.2657531034390807,30.0,0.030959752321981424,1.5860491620651046e-05,113.6752905615385,0.9054289804716934,4.0,0.0041279669762641896,2.114732216086806e-06,340.204195090108,0.9894579699023528,9.0,0.009287925696594427,4.758147486195314e-06,164.8208830415313,0.7190534626796343
37,370.0,968.0,868.0,36.0,19.0,0.8966942148760331,0.0371900826446281,0.01962809917355372,0.0005105881408860906,0.00045784143211686644,1.898881515692073e-05,1.0021874666152606e-05,22.06106426405207,89.45149474002523,168.5661601373503,22.14313942418605,0.996992329782078,0.7795904873955956,1.0672714036029405,0.9476036741249939,0.2669149171269407,31.0,0.03202479338842975,1.6351479718459516e-05,114.23951857119742,0.9238998357592835,5.0,0.005165289256198347,2.637335438461212e-06,191.0466332293455,0.6205146930692967,9.0,0.009297520661157025,4.747203789230182e-06,164.31297202972635,0.7160127973398531
38,380.0,965.0,865.0,36.0,17.0,0.8963730569948186,0.03730569948186528,0.017616580310880828,0.0005092710933761803,0.0004564968868087005,1.8998714364292736e-05,8.97161511647157e-06,21.934904762383095,91.07113482542593,164.02764364879758,22.08475455478628,0.9900115509822313,0.793912885319537,0.9826126677601226,0.9437163573086907,0.266889268152013,33.0,0.03419689119170984,1.7415488167268343e-05,112.39166012984415,0.9380627876496191,5.0,0.0051813471502590676,2.6387103283739913e-06,195.35939614748855,0.6346878116815492,9.0,0.00932642487046632,4.749678591073184e-06,165.68868003975973,0.7221957774398251
39,390.0,963.0,863.0,36.0,17.0,0.8961578400830738,0.037383177570093455,0.017653167185877467,0.00050698554632263,0.00045433907214582523,1.8952730703649718e-05,8.949900610056812e-06,21.83723839125256,90.59776720026244,161.78687555982302,22.13480279003502,0.9833893485075259,0.7888299404422453,0.9680156749649025,0.9436168687637229,0.2673166114346382,33.0,0.03426791277258567,1.7373336478345577e-05,112.38458067851013,0.9368678605559402,5.0,0.005192107995846314,2.6323237088402387e-06,198.07216851459046,0.6427219021148016,9.0,0.009345794392523364,4.7381826759124296e-06,167.38344877291752,0.7286993929701154
40,400.0,959.0,859.0,36.0,16.0,0.8957247132429614,0.03753910323253389,0.016684045881126174,0.0005040048840349534,0.0004514496302252606,1.8919891371489386e-05,8.408840609550837e-06,21.810631552053554,89.27653313070809,148.81019676303197,22.116928315770245,0.9792996728229054,0.776652298619539,0.863039646374748,0.9398519715977222,0.26776359282844986,34.0,0.035453597497393116,1.786878629529553e-05,111.66467878174221,0.9440464078122782,5.0,0.005213764337851929,2.6277626904846367e-06,204.42817856038283,0.6627715013925177,9.0,0.009384775808133473,4.7299728428723465e-06,168.67786465975917,0.7336981327581175
41,410.0,957.0,857.0,33.0,14.0,0.8955067920585162,0.034482758620689655,0.014629049111807733,0.0005025106565551701,0.00045000170602693917,1.732795367431621e-05,7.351253073952332e-06,21.931283019475615,93.22247976562169,162.3487979441308,22.139856959035665,0.9832561537662431,0.7761117990665295,0.880358901950804,0.9393163599634553,0.270003128351536,36.0,0.03761755485893417,1.890322219016314e-05,108.19117707478149,0.9407836496491102,7.0,0.0073145245559038665,3.675626536976166e-06,183.11942646990286,0.7021503300018178,10.0,0.01044932079414838,5.250895052823094e-06,130.22757560180153,0.5968285917964358
42,420.0,955.0,855.0,33.0,14.0,0.8952879581151832,0.03455497382198953,0.014659685863874346,0.0004990146781542147,0.0004467618322741922,1.724343914040742e-05,7.3153984232031475e-06,21.995832404205736,90.04509936862566,161.0807960187595,22.20898766296208,0.9827138066987754,0.7478285161423462,0.8713502396045268,0.938851252999091,0.2704394400473096,36.0,0.03769633507853403,1.8811024516808095e-05,108.0654046584182,0.9373955865439212,7.0,0.007329842931937173,3.6576992116015737e-06,182.39820234357123,0.6976772212691988,10.0,0.010471204188481676,5.225284588002248e-06,132.41668320398517,0.6053794513140525
